FIXED-RATE MORTGAGE
MONTH PAYMENT INTEREST PRINCIPAL BALANCE
1 85.61 4.17 81.44 918.56
2 85.61 3.83 81.78 836.78
3 85.61 3.49 82.12 754.66
4 85.61 3.14 82.46 672.2
5 85.61 2.8 82.81 589.39
6 85.61 2.46 83.15 506.24
7 85.61 2.11 83.5 422.74
8 85.61 1.76 83.85 338.89
9 85.61 1.41 84.2 254.7
10 85.61 1.06 84.55 170.15
11 85.61 0.71 84.9 85.25
12 85.61 0.36 85.25 0

LOMBARD MORTGAGE
MONTH PAYMENT INTEREST PRINCIPAL BALANCE
1 4.17 4.17 0 1000
2 4.17 4.17 0 1000
3 4.17 4.17 0 1000
4 4.17 4.17 0 1000
5 4.17 4.17 0 1000
6 4.17 4.17 0 1000
7 4.17 4.17 0 1000
8 4.17 4.17 0 1000
9 4.17 4.17 0 1000
10 4.17 4.17 0 1000
11 4.17 4.17 0 1000
12 1004.17 4.17 1000 0

MORTGAGE WITH EXTENSION
MONTH PAYMENT INTEREST PRINCIPAL BALANCE
1 85.61 4.17 81.44 918.56
2 85.61 3.83 81.78 836.78
3 85.61 3.49 82.12 754.66
4 85.61 3.14 82.46 672.2
5 85.61 2.8 82.81 589.39
6 85.61 2.46 83.15 506.24
7 43.11 1.69 41.42 464.82
8 43.11 1.55 41.56 423.26
9 43.11 1.41 41.7 381.57
10 43.11 1.27 41.83 339.73
11 43.11 1.13 41.97 297.76
12 43.11 0.99 42.11 255.65
13 43.11 0.85 42.25 213.39
14 43.11 0.71 42.39 171
15 43.11 0.57 42.54 128.46
16 43.11 0.43 42.68 85.78
17 43.11 0.29 42.82 42.96
18 43.11 0.14 42.96 0
